Raga Name Raw,raaga,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,value
1 Kanakāngi (Janaka raga),Kanakāngi (Janaka raga),S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,1.0,Kanakāngi (Janaka raga),S-R1-G1-M1-P-D1-N1-S,1
2 Ratnāngi,Ratnāngi,S R1 G1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,1.0,Ratnāngi,S-R1-G1-M1-P-D1-N2-S,1
3 Gānamūrti,Gānamūrti,S R1 G1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S,1.0,Gānamūrti,S-R1-G1-M1-P-D1-N3-S,1
4 Vanaspati,Vanaspati,S R1 G1 M1 P D2 N2 S,S N2 D2 P M1 G1 R1 S,1.0,Vanaspati,S-R1-G1-M1-P-D2-N2-S,1
5 Mānavati,Mānavati,S R1 G1 M1 P D2 N3 S,S N3 D2 P M1 G1 R1 S,1.0,Mānavati,S-R1-G1-M1-P-D2-N3-S,1
6 Tānarūpi,Tānarūpi,S R1 G1 M1 P D3 N3 S,S N3 D3 P M1 G1 R1 S,1.0,Tānarūpi,S-R1-G1-M1-P-D3-N3-S,1
7 Senāvati,Senāvati,S R1 G2 M1 P D1 N1 S,S N1 D1 P M1 G2 R1 S,1.0,Senāvati,S-R1-G2-M1-P-D1-N1-S,1
8 Hanumatodi,Hanumatodi,S R1 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S,1.0,Hanumatodi,S-R1-G2-M1-P-D1-N2-S,1
9 Dhenukā,Dhenukā,S R1 G2 M1 P D1 N3 S,S N3 D1 P M1 G2 R1 S,1.0,Dhenukā,S-R1-G2-M1-P-D1-N3-S,1
10 Nātakapriyā,Nātakapriyā,S R1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R1 S,1.0,Nātakapriyā,S-R1-G2-M1-P-D2-N2-S,1
11 Kokilapriyā,Kokilapriyā,S R1 G2 M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S,1.0,Kokilapriyā,S-R1-G2-M1-P-D2-N3-S,1
12 Rūpavati,Rūpavati,S R1 G2 M1 P D3 N3 S,S N3 D3 P M1 G2 R1 S,1.0,Rūpavati,S-R1-G2-M1-P-D3-N3-S,1
13 Gāyakapriyā,Gāyakapriyā,S R1 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R1 S,1.0,Gāyakapriyā,S-R1-G3-M1-P-D1-N1-S,1
14 Vakuḷābharaṇam,Vakuḷābharaṇam,S R1 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R1 S,1.0,Vakuḷābharaṇam,S-R1-G3-M1-P-D1-N2-S,1
15 Māyāmāḻavagouḻai,Māyāmāḻavagouḻai,S R1 G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R1 S,1.0,Māyāmāḻavagouḻai,S-R1-G3-M1-P-D1-N3-S,1
16 Chakravākam,Chakravākam,S R1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R1 S,1.0,Chakravākam,S-R1-G3-M1-P-D2-N2-S,1
17 Sūryakāntam,Sūryakāntam,S R1 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R1 S,1.0,Sūryakāntam,S-R1-G3-M1-P-D2-N3-S,1
18 Hātakāmbari,Hātakāmbari,S R1 G3 M1 P D3 N3 S,S N3 D3 P M1 G3 R1 S,1.0,Hātakāmbari,S-R1-G3-M1-P-D3-N3-S,1
19 Jhankāradhvani,Jhankāradhvani,S R2 G2 M1 P D1 N1 S,S N1 D1 P M1 G2 R2 S,1.0,Jhankāradhvani,S-R2-G2-M1-P-D1-N1-S,1
20 Natabhairavi,Natabhairavi,S R2 G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R2 S,1.0,Natabhairavi,S-R2-G2-M1-P-D1-N2-S,1
21 Kīravāṇi,Kīravāṇi,S R2 G2 M1 P D1 N3 S,S N3 D1 P M1 G2 R2 S,1.0,Kīravāṇi,S-R2-G2-M1-P-D1-N3-S,1
22 Kharaharapriyā,Kharaharapriyā,S R2 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R2 S,1.0,Kharaharapriyā,S-R2-G2-M1-P-D2-N2-S,1
23 Gourimanohari,Gourimanohari,S R2 G2 M1 P D2 N3 S,S N3 D2 P M1 G2 R2 S,1.0,Gourimanohari,S-R2-G2-M1-P-D2-N3-S,1
24 Varuṇapriyā,Varuṇapriyā,S R2 G2 M1 P D3 N3 S,S N3 D3 P M1 G2 R2 S,1.0,Varuṇapriyā,S-R2-G2-M1-P-D3-N3-S,1
25 Māraranjani,Māraranjani,S R2 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R2 S,1.0,Māraranjani,S-R2-G3-M1-P-D1-N1-S,1
26 Chārukesi,Chārukesi,S R2 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R2 S,1.0,Chārukesi,S-R2-G3-M1-P-D1-N2-S,1
27 Sarasāngi,Sarasāngi,S R2 G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R2 S,1.0,Sarasāngi,S-R2-G3-M1-P-D1-N3-S,1
