Raga Name Raw,Raga Name,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,avro_path,pali,value,raaga,Raga_Rank
1 Kanakāngi (Janaka raga),Kanakāngi (Janaka raga),S R1 G1 M1 P D1 N1 S,S N1 D1 P M1 G1 R1 S,1.0,Kanakāngi (Janaka raga),S-R1-G1-M1-P-D1-N1-S,S-N1-D1-P-M1-G1-R1-S,True,1,Kanakāngi (Janaka raga),1.0
Kanakāmbari,Kanakāmbari,S R1 M1 P D1 S,S N1 D1 P M1 G1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-M1-P-D1-S,S-N1-D1-P-M1-G1-R1-S,False,1,Kanakāmbari,1.0
Kanakatodi,Kanakatodi,S R1 G1 M1 P D1 S,S N1 D1 P M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-G1-M1-P-D1-S,S-N1-D1-P-M1-R1-S,False,1,Kanakatodi,1.0
Mādhavapriyā,Mādhavapriyā,S R1 G1 P D1 N1 S,S N1 D1 P G1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-G1-P-D1-N1-S,S-N1-D1-P-G1-R1-S,True,1,Mādhavapriyā,1.0
Karnātaka Shuddha Sāveri,Karnātaka Shuddha Sāveri,S R1 M1 P D1 S,S D1 P M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-M1-P-D1-S,S-D1-P-M1-R1-S,True,1,Karnātaka Shuddha Sāveri,1.0
Latantapriya,Latantapriya,S R1 G1 M1 P D1 S,S D1 P M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-G1-M1-P-D1-S,S-D1-P-M1-R1-S,False,1,Latantapriya,1.0
Lavangi (Raga created by M. Balamuralikrishna),Lavangi (Raga created by M. Balamuralikrishna),S R1 M1 D1 S,S D1 M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-M1-D1-S,S-D1-M1-R1-S,True,1,Lavangi (Raga created by M. Balamuralikrishna),1.0
Megha,Megha,S R1 M1 P D1 N1 D1 P S,S N1 D1 P M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-M1-P-D1-N1-D1-P-S,S-N1-D1-P-M1-R1-S,False,1,Megha,1.0
Rishabhavilāsa,Rishabhavilāsa,S R1 M1 P D1 S,S D1 P M1 R1 M1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-M1-P-D1-S,S-D1-P-M1-R1-M1-R1-S,False,1,Rishabhavilāsa,1.0
Sarvashree,Sarvashree,S M1 P S,S P M1 S,0.0,Kanakāngi (Janaka raga),S-M1-P-S,S-P-M1-S,True,1,Sarvashree,1.0
Vāgeeshwari,Vāgeeshwari,S R1 G1 M1 P D1 S,S D1 M1 P G1 R1 S,0.0,Kanakāngi (Janaka raga),S-R1-G1-M1-P-D1-S,S-D1-M1-P-G1-R1-S,False,1,Vāgeeshwari,1.0
2 Ratnāngi,Ratnāngi,S R1 G1 M1 P D1 N2 S,S N2 D1 P M1 G1 R1 S,1.0,Ratnāngi,S-R1-G1-M1-P-D1-N2-S,S-N2-D1-P-M1-G1-R1-S,True,1,Ratnāngi,2.0
Phenadhyuti,Phenadhyuti,S R1 M1 P D1 P N2 S,S N2 D1 P M1 G1 R1 S,0.0,Ratnāngi,S-R1-M1-P-D1-P-N2-S,S-N2-D1-P-M1-G1-R1-S,False,1,Phenadhyuti,2.0
Ganamukhāri,Ganamukhāri,S R1 M1 D1 S,S N2 D1 M1 R1 S,0.0,Ratnāngi,S-R1-M1-D1-S,S-N2-D1-M1-R1-S,False,1,Ganamukhāri,2.0
Ratnavarāli,Ratnavarāli,S R1 M1 P N2 D1 S,S N2 P M1 R1 G1 R1 S,0.0,Ratnāngi,S-R1-M1-P-N2-D1-S,S-N2-P-M1-R1-G1-R1-S,False,1,Ratnavarāli,2.0
Revati,Revati,S R1 M1 P N2 S,S N2 P M1 R1 S,0.0,Ratnāngi,S-R1-M1-P-N2-S,S-N2-P-M1-R1-S,True,1,Revati,2.0
Shreemani,Shreemani,S R1 G1 P D1 S,S N2 D1 P G1 R1 S,0.0,Ratnāngi,S-R1-G1-P-D1-S,S-N2-D1-P-G1-R1-S,False,1,Shreemani,2.0
Svadhya,Svadhya,S R1 M1 P N2 S,S N2 D1 P M1 R1 S,0.0,Ratnāngi,S-R1-M1-P-N2-S,S-N2-D1-P-M1-R1-S,False,1,Svadhya,2.0
3 Gānamūrti,Gānamūrti,S R1 G1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S,1.0,Gānamūrti,S-R1-G1-M1-P-D1-N3-S,S-N3-D1-P-M1-G1-R1-S,True,1,Gānamūrti,3.0
Gānasāmavarāli,Gānasāmavarāli,S R1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 S,0.0,Gānamūrti,S-R1-M1-P-D1-N3-S,S-N3-D1-P-M1-G1-R1-S,False,1,Gānasāmavarāli,3.0
Nādharanjani,Nādharanjani,S R1 M1 D1 N3 S,S N3 D1 M1 G1 R1 S,0.0,Gānamūrti,S-R1-M1-D1-N3-S,S-N3-D1-M1-G1-R1-S,False,1,Nādharanjani,3.0
Poorvavarāli,Poorvavarāli,S R1 M1 P D1 S,S N3 D1 P M1 G1 R1 S,0.0,Gānamūrti,S-R1-M1-P-D1-S,S-N3-D1-P-M1-G1-R1-S,False,1,Poorvavarāli,3.0
Sāmavarāli,Sāmavarāli,S R1 M1 P D1 N3 S,S N3 D1 P M1 G1 R1 G1 S,0.0,Gānamūrti,S-R1-M1-P-D1-N3-S,S-N3-D1-P-M1-G1-R1-G1-S,False,1,Sāmavarāli,3.0
4 Vanaspati,Vanaspati,S R1 G1 M1 P D2 N2 S,S N2 D2 P M1 G1 R1 S,1.0,Vanaspati,S-R1-G1-M1-P-D2-N2-S,S-N2-D2-P-M1-G1-R1-S,True,1,Vanaspati,4.0
Bhānumati,Bhānumati,N2 S M1 P N2 S,S N2 D2 P M1 G2 R2 S,0.0,Vanaspati,N2-S-M1-P-N2-S,S-N2-D2-P-M1-G2-R2-S,False,1,Bhānumati,4.0
Rasāli,Rasāli,S R1 M1 P D2 N2 S,S D2 P M1 R1 S,0.0,Vanaspati,S-R1-M1-P-D2-N2-S,S-D2-P-M1-R1-S,False,1,Rasāli,4.0
Vittalapriya,Vittalapriya,S R1 M1 P D2 S,S D2 P M1 R1 S,0.0,Vanaspati,S-R1-M1-P-D2-S,S-D2-P-M1-R1-S,True,1,Vittalapriya,4.0
5 Mānavati,Mānavati,S R1 G1 M1 P D2 N3 S,S N3 D2 P M1 G1 R1 S,1.0,Mānavati,S-R1-G1-M1-P-D2-N3-S,S-N3-D2-P-M1-G1-R1-S,True,1,Mānavati,5.0
Manoranjani,Manoranjani,S R1 M1 P D2 N3 S,S N3 D2 P M1 G1 R1 S,0.0,Mānavati,S-R1-M1-P-D2-N3-S,S-N3-D2-P-M1-G1-R1-S,False,1,Manoranjani,5.0
Ghanashyāmalā,Ghanashyāmalā,S G1 M1 P D2 S,S D2 N3 P M1 G1 R1 S,0.0,Mānavati,S-G1-M1-P-D2-S,S-D2-N3-P-M1-G1-R1-S,False,1,Ghanashyāmalā,5.0
Kunjari,Kunjari,S R1 M1 P D2 P S,S N3 D2 P M1 G1 R1 S,0.0,Mānavati,S-R1-M1-P-D2-P-S,S-N3-D2-P-M1-G1-R1-S,False,1,Kunjari,5.0
6 Tānarūpi,Tānarūpi,S R1 G1 M1 P D3 N3 S,S N3 D3 P M1 G1 R1 S,1.0,Tānarūpi,S-R1-G1-M1-P-D3-N3-S,S-N3-D3-P-M1-G1-R1-S,True,1,Tānarūpi,6.0
Tanukeerti,Tanukeerti,S R1 M1 P N3 S,S N3 D3 N3 P M1 G1 M1 R1 S,0.0,Tānarūpi,S-R1-M1-P-N3-S,S-N3-D3-N3-P-M1-G1-M1-R1-S,False,1,Tanukeerti,6.0
7 Senāvati,Senāvati,S R1 G2 M1 P D1 N1 S,S N1 D1 P M1 G2 R1 S,1.0,Senāvati,S-R1-G2-M1-P-D1-N1-S,S-N1-D1-P-M1-G2-R1-S,True,1,Senāvati,7.0
Senāgrani,Senāgrani,S R1 G2 R1 M1 G2 M1 P N1 D1 S,S N1 D1 P M1 G2 M1 G2 R1 S,0.0,Senāvati,S-R1-G2-R1-M1-G2-M1-P-N1-D1-S,S-N1-D1-P-M1-G2-M1-G2-R1-S,False,1,Senāgrani,7.0
